                         title;              KiB;              MiB;  check;         min (us);         max (us);         med (us);        mean (us);               CV;              MRR;            MiB/s
                      memcpy_C;        30720.000;           30.000;   PASS;         1560.995;         1733.634;         1728.010;         1722.151;            1.699;            0.111;           18.768
                 memcpy_openmp;        30720.000;           30.000;   PASS;         2154.507;         2225.178;         2220.979;         2201.078;            1.381;            0.033;           13.598
                 memcpy_memcpy;        30720.000;           30.000;   PASS;         1600.735;         1624.323;         1614.153;         1614.279;            0.366;            0.015;           18.302
                    memcpy_asm;        30720.000;           30.000;   PASS;         4241.928;         4276.852;         4258.202;         4257.880;            0.197;            0.008;            6.907
                 memcpy_SSE_u1;        30720.000;           30.000;   PASS;         2459.801;         2489.821;         2468.507;         2468.209;            0.212;            0.012;           11.910
                 memcpy_SSE_u2;        30720.000;           30.000;   PASS;         2455.161;         2487.744;         2463.187;         2463.174;            0.226;            0.013;           11.933
                 memcpy_SSE_u4;        30720.000;           30.000;   PASS;         2460.521;         2472.304;         2468.544;         2467.956;            0.118;            0.005;           11.907
                 memcpy_SSE_u8;        30720.000;           30.000;   PASS;         2450.179;         2470.085;         2463.467;         2462.850;            0.171;            0.008;           11.957
              memcpy_SSE_u8_nt;        30720.000;           30.000;   PASS;         1729.085;         1748.569;         1734.653;         1734.517;            0.211;            0.011;           16.944
                 memcpy_AVX_u1;        30720.000;           30.000;   PASS;         2454.440;         2465.308;         2461.836;         2461.052;            0.111;            0.004;           11.936
                 memcpy_AVX_u2;        30720.000;           30.000;   PASS;         2463.522;         2474.871;         2468.217;         2468.145;            0.094;            0.005;           11.892
                 memcpy_AVX_u4;        30720.000;           30.000;   PASS;         2458.491;         2468.359;         2462.193;         2462.625;            0.102;            0.004;           11.917
                 memcpy_AVX_u8;        30720.000;           30.000;   PASS;         2435.222;         2447.850;         2442.330;         2441.957;            0.108;            0.005;           12.030
              memcpy_AVX_u8_nt;        30720.000;           30.000;   PASS;         1733.190;         1751.568;         1746.590;         1745.699;            0.263;            0.011;           16.903
                memcpy_AVX_u16;        30720.000;           30.000;   PASS;         2537.373;         2558.901;         2548.015;         2547.340;            0.178;            0.008;           11.546
             memcpy_AVX_u16_nt;        30720.000;           30.000;   PASS;         1960.261;         1973.125;         1966.706;         1966.550;            0.187;            0.007;           14.945
