                         title;              KiB;              MiB;  check;         min (us);         max (us);         med (us);        mean (us);               CV;              MRR;            MiB/s
                      memcpy_C;        28672.000;           28.000;   PASS;         1443.462;         1619.073;         1603.929;         1599.668;            1.786;            0.122;           18.943
                 memcpy_openmp;        28672.000;           28.000;   PASS;         2003.353;         2082.945;         2013.476;         2020.642;            1.090;            0.040;           13.649
                 memcpy_memcpy;        28672.000;           28.000;   PASS;         1490.695;         1510.062;         1501.339;         1500.943;            0.304;            0.013;           18.343
                    memcpy_asm;        28672.000;           28.000;   PASS;         3945.671;         3981.346;         3962.486;         3962.171;            0.191;            0.009;            6.930
                 memcpy_SSE_u1;        28672.000;           28.000;   PASS;         2295.913;         2311.266;         2303.338;         2302.971;            0.153;            0.007;           11.910
                 memcpy_SSE_u2;        28672.000;           28.000;   PASS;         2290.022;         2307.007;         2298.770;         2298.062;            0.157;            0.007;           11.940
                 memcpy_SSE_u4;        28672.000;           28.000;   PASS;         2296.550;         2310.155;         2304.193;         2304.333;            0.138;            0.006;           11.906
                 memcpy_SSE_u8;        28672.000;           28.000;   PASS;         2290.090;         2304.641;         2298.761;         2298.333;            0.169;            0.006;           11.940
              memcpy_SSE_u8_nt;        28672.000;           28.000;   PASS;         1610.534;         1631.917;         1616.641;         1616.955;            0.229;            0.013;           16.978
                 memcpy_AVX_u1;        28672.000;           28.000;   PASS;         2287.672;         2300.234;         2293.838;         2293.510;            0.156;            0.005;           11.953
                 memcpy_AVX_u2;        28672.000;           28.000;   PASS;         2294.908;         2307.260;         2301.543;         2301.543;            0.121;            0.005;           11.915
                 memcpy_AVX_u4;        28672.000;           28.000;   PASS;         2283.408;         2307.394;         2297.041;         2296.560;            0.182;            0.011;           11.975
                 memcpy_AVX_u8;        28672.000;           28.000;   PASS;         2273.424;         2281.267;         2277.964;         2277.536;            0.097;            0.003;           12.028
              memcpy_AVX_u8_nt;        28672.000;           28.000;   PASS;         1620.285;         1640.301;         1628.306;         1629.216;            0.301;            0.012;           16.876
                memcpy_AVX_u16;        28672.000;           28.000;   PASS;         2366.622;         2383.894;         2376.217;         2376.039;            0.173;            0.007;           11.554
             memcpy_AVX_u16_nt;        28672.000;           28.000;   PASS;         1825.296;         1844.421;         1833.925;         1833.319;            0.245;            0.010;           14.980
