                         title;              KiB;              MiB;  check;         min (us);         max (us);         med (us);        mean (us);               CV;              MRR;            MiB/s
                      memcpy_C;         8192.000;            8.000;   PASS;          257.530;          273.442;          266.987;          266.441;            1.708;            0.062;           30.336
                 memcpy_openmp;         8192.000;            8.000;   PASS;          297.703;          350.055;          303.228;          304.569;            2.776;            0.176;           26.243
                 memcpy_memcpy;         8192.000;            8.000;   PASS;          256.043;          303.970;          263.119;          265.235;            3.570;            0.187;           30.512
                    memcpy_asm;         8192.000;            8.000;   PASS;          843.904;          857.025;          850.495;          850.198;            0.351;            0.016;            9.258
                 memcpy_SSE_u1;         8192.000;            8.000;   PASS;          492.420;          518.233;          495.693;          496.214;            0.882;            0.052;           15.866
                 memcpy_SSE_u2;         8192.000;            8.000;   PASS;          490.905;          498.951;          494.813;          494.697;            0.470;            0.016;           15.914
                 memcpy_SSE_u4;         8192.000;            8.000;   PASS;          492.481;          502.024;          496.884;          496.574;            0.457;            0.019;           15.864
                 memcpy_SSE_u8;         8192.000;            8.000;   PASS;          489.113;          497.698;          493.482;          493.433;            0.419;            0.018;           15.973
              memcpy_SSE_u8_nt;         8192.000;            8.000;   PASS;          244.801;          272.910;          263.947;          261.037;            2.694;            0.115;           31.914
                 memcpy_AVX_u1;         8192.000;            8.000;   PASS;          492.037;          499.336;          494.679;          495.235;            0.441;            0.015;           15.878
                 memcpy_AVX_u2;         8192.000;            8.000;   PASS;          494.063;          503.404;          497.234;          497.396;            0.389;            0.019;           15.813
                 memcpy_AVX_u4;         8192.000;            8.000;   PASS;          490.903;          499.451;          493.925;          494.168;            0.417;            0.017;           15.915
                 memcpy_AVX_u8;         8192.000;            8.000;   PASS;          479.558;          492.584;          486.106;          486.090;            0.487;            0.027;           16.291
              memcpy_AVX_u8_nt;         8192.000;            8.000;   PASS;          256.312;          289.936;          272.032;          273.054;            2.993;            0.131;           30.480
                memcpy_AVX_u16;         8192.000;            8.000;   PASS;          507.059;          518.714;          510.273;          510.705;            0.485;            0.023;           15.407
             memcpy_AVX_u16_nt;         8192.000;            8.000;   PASS;          290.443;          318.143;          299.579;          300.359;            2.374;            0.095;           26.899
