                         title;              KiB;              MiB;  check;         min (us);         max (us);         med (us);        mean (us);               CV;              MRR;            MiB/s
                      memcpy_C;        32768.000;           32.000;   PASS;         1665.957;         1850.885;         1844.914;         1838.777;            1.705;            0.111;           18.758
                 memcpy_openmp;        32768.000;           32.000;   PASS;         2293.581;         2366.233;         2301.915;         2315.942;            1.196;            0.032;           13.625
                 memcpy_memcpy;        32768.000;           32.000;   PASS;         1707.693;         1738.270;         1724.946;         1723.329;            0.412;            0.018;           18.300
                    memcpy_asm;        32768.000;           32.000;   PASS;         4520.385;         4583.984;         4542.930;         4542.260;            0.243;            0.014;            6.913
                 memcpy_SSE_u1;        32768.000;           32.000;   PASS;         2622.845;         2640.804;         2632.867;         2631.886;            0.152;            0.007;           11.915
                 memcpy_SSE_u2;        32768.000;           32.000;   PASS;         2619.199;         2633.870;         2627.346;         2627.081;            0.112;            0.006;           11.931
                 memcpy_SSE_u4;        32768.000;           32.000;   PASS;         2627.251;         2639.213;         2632.258;         2632.444;            0.099;            0.005;           11.895
                 memcpy_SSE_u8;        32768.000;           32.000;   PASS;         2621.329;         2632.889;         2629.390;         2628.754;            0.109;            0.004;           11.921
              memcpy_SSE_u8_nt;        32768.000;           32.000;   PASS;         1839.165;         1854.989;         1847.236;         1847.296;            0.194;            0.009;           16.991
                 memcpy_AVX_u1;        32768.000;           32.000;   PASS;         2618.552;         2635.117;         2627.555;         2626.930;            0.121;            0.006;           11.934
                 memcpy_AVX_u2;        32768.000;           32.000;   PASS;         2625.625;         2638.251;         2632.152;         2631.834;            0.132;            0.005;           11.902
                 memcpy_AVX_u4;        32768.000;           32.000;   PASS;         2617.954;         2631.444;         2625.214;         2625.324;            0.100;            0.005;           11.937
                 memcpy_AVX_u8;        32768.000;           32.000;   PASS;         2595.682;         2609.079;         2603.773;         2603.485;            0.112;            0.005;           12.039
              memcpy_AVX_u8_nt;        32768.000;           32.000;   PASS;         1852.751;         2022.380;         1860.117;         1866.134;            1.564;            0.092;           16.867
                memcpy_AVX_u16;        32768.000;           32.000;   PASS;         2706.231;         2723.936;         2716.359;         2715.192;            0.171;            0.007;           11.547
             memcpy_AVX_u16_nt;        32768.000;           32.000;   PASS;         2084.979;         2101.992;         2094.129;         2093.654;            0.198;            0.008;           14.988
