                         title;              KiB;              MiB;  check;         min (us);         max (us);         med (us);        mean (us);               CV;              MRR;            MiB/s
                      memcpy_C;         6144.000;            6.000;   PASS;          222.213;          270.318;          225.158;          227.655;            4.475;            0.216;           26.368
                 memcpy_openmp;         6144.000;            6.000;   PASS;          181.162;          204.311;          183.742;          184.632;            2.084;            0.128;           32.343
                 memcpy_memcpy;         6144.000;            6.000;   PASS;          220.649;          256.520;          223.461;          224.349;            2.615;            0.163;           26.555
                    memcpy_asm;         6144.000;            6.000;   PASS;          460.836;          470.886;          466.129;          466.452;            0.614;            0.022;           12.715
                 memcpy_SSE_u1;         6144.000;            6.000;   PASS;          219.267;          224.954;          222.296;          222.238;            0.660;            0.026;           26.723
                 memcpy_SSE_u2;         6144.000;            6.000;   PASS;          220.834;          227.475;          223.950;          223.903;            0.696;            0.030;           26.533
                 memcpy_SSE_u4;         6144.000;            6.000;   PASS;          223.063;          232.324;          226.100;          226.251;            0.859;            0.042;           26.268
                 memcpy_SSE_u8;         6144.000;            6.000;   PASS;          216.932;          223.248;          219.128;          219.161;            0.590;            0.029;           27.010
              memcpy_SSE_u8_nt;         6144.000;            6.000;   PASS;          170.640;          182.445;          177.383;          176.797;            1.734;            0.069;           34.338
                 memcpy_AVX_u1;         6144.000;            6.000;   PASS;          220.406;          251.513;          224.563;          225.648;            2.950;            0.141;           26.584
                 memcpy_AVX_u2;         6144.000;            6.000;   PASS;          220.720;          230.767;          225.886;          225.577;            0.986;            0.046;           26.547
                 memcpy_AVX_u4;         6144.000;            6.000;   PASS;          215.968;          221.583;          218.949;          218.781;            0.747;            0.026;           27.131
                 memcpy_AVX_u8;         6144.000;            6.000;   PASS;          215.557;          221.101;          218.875;          218.727;            0.634;            0.026;           27.182
              memcpy_AVX_u8_nt;         6144.000;            6.000;   PASS;          176.879;          191.681;          181.159;          181.860;            1.980;            0.084;           33.126
                memcpy_AVX_u16;         6144.000;            6.000;   PASS;          228.658;          258.665;          232.296;          233.895;            2.806;            0.131;           25.625
             memcpy_AVX_u16_nt;         6144.000;            6.000;   PASS;          190.694;          214.435;          197.860;          198.416;            2.918;            0.124;           30.727
