                         title;              KiB;              MiB;  check;         min (us);         max (us);         med (us);        mean (us);               CV;              MRR;            MiB/s
                      memcpy_C;        10240.000;           10.000;   PASS;          377.291;          405.927;          390.508;          391.314;            1.701;            0.076;           25.884
                 memcpy_openmp;        10240.000;           10.000;   PASS;          574.139;          636.849;          577.164;          578.763;            1.825;            0.109;           17.009
                 memcpy_memcpy;        10240.000;           10.000;   PASS;          367.712;          386.917;          381.052;          379.616;            1.267;            0.052;           26.558
                    memcpy_asm;        10240.000;           10.000;   PASS;         1191.006;         1214.387;         1198.584;         1199.866;            0.433;            0.020;            8.199
                 memcpy_SSE_u1;        10240.000;           10.000;   PASS;          757.949;          768.845;          761.432;          761.455;            0.318;            0.014;           12.884
                 memcpy_SSE_u2;        10240.000;           10.000;   PASS;          755.746;          763.774;          760.955;          760.646;            0.211;            0.011;           12.922
                 memcpy_SSE_u4;        10240.000;           10.000;   PASS;          759.264;          768.808;          762.423;          762.287;            0.242;            0.013;           12.862
                 memcpy_SSE_u8;        10240.000;           10.000;   PASS;          757.586;          783.180;          761.320;          762.021;            0.544;            0.034;           12.890
              memcpy_SSE_u8_nt;        10240.000;           10.000;   PASS;          387.910;          403.552;          396.376;          396.201;            1.110;            0.040;           25.175
                 memcpy_AVX_u1;        10240.000;           10.000;   PASS;          756.730;          763.968;          759.752;          759.937;            0.195;            0.010;           12.905
                 memcpy_AVX_u2;        10240.000;           10.000;   PASS;          758.381;          768.834;          761.678;          762.433;            0.294;            0.014;           12.877
                 memcpy_AVX_u4;        10240.000;           10.000;   PASS;          758.294;          766.091;          760.641;          760.824;            0.219;            0.010;           12.878
                 memcpy_AVX_u8;        10240.000;           10.000;   PASS;          748.872;          765.648;          751.948;          752.267;            0.387;            0.022;           13.040
              memcpy_AVX_u8_nt;        10240.000;           10.000;   PASS;          382.680;          398.934;          392.797;          392.633;            1.172;            0.042;           25.519
                memcpy_AVX_u16;        10240.000;           10.000;   PASS;          776.757;          788.357;          782.641;          782.697;            0.352;            0.015;           12.572
             memcpy_AVX_u16_nt;        10240.000;           10.000;   PASS;          424.304;          454.188;          437.738;          437.176;            1.484;            0.070;           23.016
