                         title;              KiB;              MiB;  check;         min (us);         max (us);         med (us);        mean (us);               CV;              MRR;            MiB/s
                      memcpy_C;        22528.000;           22.000;   PASS;         1130.703;         1256.060;         1241.085;         1238.020;            1.624;            0.111;           19.001
                 memcpy_openmp;        22528.000;           22.000;   PASS;         1572.231;         1667.271;         1585.896;         1604.424;            2.085;            0.060;           13.665
                 memcpy_memcpy;        22528.000;           22.000;   PASS;         1139.056;         1163.086;         1150.669;         1149.948;            0.571;            0.021;           18.862
                    memcpy_asm;        22528.000;           22.000;   PASS;         3094.237;         3119.211;         3109.608;         3109.429;            0.197;            0.008;            6.943
                 memcpy_SSE_u1;        22528.000;           22.000;   PASS;         1803.643;         1814.056;         1810.423;         1809.670;            0.163;            0.006;           11.912
                 memcpy_SSE_u2;        22528.000;           22.000;   PASS;         1798.547;         1814.031;         1809.177;         1808.512;            0.199;            0.009;           11.945
                 memcpy_SSE_u4;        22528.000;           22.000;   PASS;         1803.777;         1817.215;         1811.219;         1810.926;            0.151;            0.007;           11.911
                 memcpy_SSE_u8;        22528.000;           22.000;   PASS;         1802.345;         1814.845;         1808.963;         1808.535;            0.163;            0.007;           11.920
              memcpy_SSE_u8_nt;        22528.000;           22.000;   PASS;         1235.135;         1255.907;         1247.135;         1246.413;            0.506;            0.017;           17.394
                 memcpy_AVX_u1;        22528.000;           22.000;   PASS;         1798.929;         1814.998;         1806.047;         1805.621;            0.172;            0.009;           11.943
                 memcpy_AVX_u2;        22528.000;           22.000;   PASS;         1803.549;         1814.654;         1809.720;         1809.449;            0.143;            0.006;           11.912
                 memcpy_AVX_u4;        22528.000;           22.000;   PASS;         1799.675;         1813.084;         1808.015;         1807.244;            0.182;            0.007;           11.938
                 memcpy_AVX_u8;        22528.000;           22.000;   PASS;         1784.061;         1797.689;         1792.655;         1792.302;            0.150;            0.008;           12.042
              memcpy_AVX_u8_nt;        22528.000;           22.000;   PASS;         1232.801;         1263.553;         1251.586;         1250.083;            0.620;            0.025;           17.427
                memcpy_AVX_u16;        22528.000;           22.000;   PASS;         1858.125;         1877.012;         1866.723;         1866.874;            0.243;            0.010;           11.562
             memcpy_AVX_u16_nt;        22528.000;           22.000;   PASS;         1402.156;         1499.775;         1412.135;         1415.360;            1.207;            0.070;           15.322
