                         title;              KiB;              MiB;  check;         min (us);         max (us);         med (us);        mean (us);               CV;              MRR;            MiB/s
                      memcpy_C;        14336.000;           14.000;   PASS;          627.837;          664.724;          651.281;          650.988;            1.118;            0.059;           21.776
                 memcpy_openmp;        14336.000;           14.000;   PASS;          988.723;         1061.948;          990.294;         1001.922;            2.580;            0.074;           13.828
                 memcpy_memcpy;        14336.000;           14.000;   PASS;          595.562;          639.493;          619.209;          614.292;            1.842;            0.074;           22.956
                    memcpy_asm;        14336.000;           14.000;   PASS;         1888.589;         1902.650;         1895.017;         1894.933;            0.199;            0.007;            7.239
                 memcpy_SSE_u1;        14336.000;           14.000;   PASS;         1142.868;         1159.201;         1147.589;         1147.817;            0.281;            0.014;           11.963
                 memcpy_SSE_u2;        14336.000;           14.000;   PASS;         1141.265;         1149.658;         1146.034;         1146.117;            0.178;            0.007;           11.980
                 memcpy_SSE_u4;        14336.000;           14.000;   PASS;         1143.318;         1153.143;         1148.335;         1148.169;            0.193;            0.009;           11.958
                 memcpy_SSE_u8;        14336.000;           14.000;   PASS;         1142.578;         1150.973;         1146.254;         1146.139;            0.146;            0.007;           11.966
              memcpy_SSE_u8_nt;        14336.000;           14.000;   PASS;          648.981;          686.720;          663.000;          662.983;            1.240;            0.058;           21.067
                 memcpy_AVX_u1;        14336.000;           14.000;   PASS;         1141.662;         1160.909;         1144.849;         1145.653;            0.305;            0.017;           11.975
                 memcpy_AVX_u2;        14336.000;           14.000;   PASS;         1144.691;         1152.904;         1147.867;         1147.865;            0.158;            0.007;           11.944
                 memcpy_AVX_u4;        14336.000;           14.000;   PASS;         1141.524;         1148.238;         1144.688;         1144.905;            0.160;            0.006;           11.977
                 memcpy_AVX_u8;        14336.000;           14.000;   PASS;         1131.066;         1139.719;         1136.643;         1136.181;            0.171;            0.008;           12.088
              memcpy_AVX_u8_nt;        14336.000;           14.000;   PASS;          640.019;          668.858;          648.383;          651.702;            1.335;            0.045;           21.362
                memcpy_AVX_u16;        14336.000;           14.000;   PASS;         1175.880;         1185.135;         1181.474;         1180.967;            0.198;            0.008;           11.627
             memcpy_AVX_u16_nt;        14336.000;           14.000;   PASS;          700.617;          765.313;          746.960;          745.065;            1.560;            0.092;           19.514
