                         title;              KiB;              MiB;  check;         min (us);         max (us);         med (us);        mean (us);               CV;              MRR;            MiB/s
                      memcpy_C;         4096.000;            4.000;   PASS;          113.797;          125.935;          116.402;          116.797;            2.523;            0.107;           34.326
                 memcpy_openmp;         4096.000;            4.000;   PASS;          116.001;          134.498;          116.426;          117.362;            2.932;            0.159;           33.674
                 memcpy_memcpy;         4096.000;            4.000;   PASS;          114.840;          147.743;          116.299;          118.257;            6.302;            0.287;           34.015
                    memcpy_asm;         4096.000;            4.000;   PASS;          236.308;          244.976;          239.711;          239.532;            0.940;            0.037;           16.530
                 memcpy_SSE_u1;         4096.000;            4.000;   PASS;          114.063;          116.521;          115.265;          115.324;            0.627;            0.022;           34.246
                 memcpy_SSE_u2;         4096.000;            4.000;   PASS;          114.320;          118.205;          116.142;          115.989;            0.817;            0.034;           34.169
                 memcpy_SSE_u4;         4096.000;            4.000;   PASS;          114.699;          117.278;          116.105;          116.023;            0.565;            0.022;           34.057
                 memcpy_SSE_u8;         4096.000;            4.000;   PASS;          113.526;          115.451;          114.573;          114.534;            0.481;            0.017;           34.408
              memcpy_SSE_u8_nt;         4096.000;            4.000;   PASS;          108.300;          112.006;          109.169;          109.241;            0.676;            0.034;           36.069
                 memcpy_AVX_u1;         4096.000;            4.000;   PASS;          114.383;          120.770;          115.792;          116.064;            1.323;            0.056;           34.151
                 memcpy_AVX_u2;         4096.000;            4.000;   PASS;          114.373;          117.650;          115.984;          115.816;            0.655;            0.029;           34.153
                 memcpy_AVX_u4;         4096.000;            4.000;   PASS;          112.950;          116.086;          114.044;          114.159;            0.742;            0.028;           34.584
                 memcpy_AVX_u8;         4096.000;            4.000;   PASS;          113.356;          116.540;          114.541;          114.604;            0.637;            0.028;           34.460
              memcpy_AVX_u8_nt;         4096.000;            4.000;   PASS;          111.090;          114.650;          112.388;          112.326;            0.714;            0.032;           35.163
                memcpy_AVX_u16;         4096.000;            4.000;   PASS;          115.823;          123.637;          117.725;          118.030;            1.565;            0.067;           33.726
             memcpy_AVX_u16_nt;         4096.000;            4.000;   PASS;          121.021;          125.996;          123.089;          122.936;            0.944;            0.041;           32.278
