                         title;              KiB;              MiB;  check;         min (us);         max (us);         med (us);        mean (us);               CV;              MRR;            MiB/s
                      memcpy_C;         2048.000;            2.000;   PASS;           41.007;          113.702;           41.679;           44.553;           28.054;            1.773;           47.629
                 memcpy_openmp;         2048.000;            2.000;   PASS;           43.507;           64.477;           43.951;           44.659;            8.032;            0.482;           44.892
                 memcpy_memcpy;         2048.000;            2.000;   PASS;           40.895;           54.815;           41.827;           43.198;            9.580;            0.340;           47.759
                    memcpy_asm;         2048.000;            2.000;   PASS;           95.058;          103.008;           95.942;           96.214;            1.522;            0.084;           20.547
                 memcpy_SSE_u1;         2048.000;            2.000;   PASS;           50.328;           53.237;           50.850;           50.867;            1.109;            0.058;           38.808
                 memcpy_SSE_u2;         2048.000;            2.000;   PASS;           40.878;           45.747;           41.308;           41.464;            2.086;            0.119;           47.779
                 memcpy_SSE_u4;         2048.000;            2.000;   PASS;           41.018;           42.839;           41.498;           41.570;            1.258;            0.044;           47.617
                 memcpy_SSE_u8;         2048.000;            2.000;   PASS;           40.156;           44.863;           40.558;           40.859;            2.250;            0.117;           48.638
              memcpy_SSE_u8_nt;         2048.000;            2.000;   PASS;           54.830;           61.669;           55.729;           55.926;            2.185;            0.125;           35.621
                 memcpy_AVX_u1;         2048.000;            2.000;   PASS;           40.773;           45.482;           41.316;           41.419;            1.951;            0.115;           47.902
                 memcpy_AVX_u2;         2048.000;            2.000;   PASS;           41.044;           45.654;           41.362;           41.642;            1.994;            0.112;           47.586
                 memcpy_AVX_u4;         2048.000;            2.000;   PASS;           40.292;           44.601;           40.677;           40.890;            2.169;            0.107;           48.475
                 memcpy_AVX_u8;         2048.000;            2.000;   PASS;           40.387;           45.659;           40.587;           41.104;            3.031;            0.131;           48.361
              memcpy_AVX_u8_nt;         2048.000;            2.000;   PASS;           54.862;           60.798;           56.032;           56.312;            1.966;            0.108;           35.600
                memcpy_AVX_u16;         2048.000;            2.000;   PASS;           41.993;           46.876;           42.374;           42.691;            2.091;            0.116;           46.511
             memcpy_AVX_u16_nt;         2048.000;            2.000;   PASS;           60.760;           62.993;           61.673;           61.685;            0.862;            0.037;           32.145
