                         title;              KiB;              MiB;  check;         min (us);         max (us);         med (us);        mean (us);               CV;              MRR;            MiB/s
                      memcpy_C;        18432.000;           18.000;   PASS;          893.046;          988.855;          972.505;          970.141;            1.541;            0.107;           19.683
                 memcpy_openmp;        18432.000;           18.000;   PASS;         1286.056;         1361.074;         1289.931;         1306.686;            2.317;            0.058;           13.668
                 memcpy_memcpy;        18432.000;           18.000;   PASS;          862.891;          889.775;          877.825;          876.171;            0.895;            0.031;           20.371
                    memcpy_asm;        18432.000;           18.000;   PASS;         2506.571;         2524.612;         2515.188;         2515.465;            0.194;            0.007;            7.013
                 memcpy_SSE_u1;        18432.000;           18.000;   PASS;         1476.497;         1490.036;         1482.043;         1482.107;            0.179;            0.009;           11.905
                 memcpy_SSE_u2;        18432.000;           18.000;   PASS;         1476.944;         1487.216;         1481.464;         1481.188;            0.176;            0.007;           11.902
                 memcpy_SSE_u4;        18432.000;           18.000;   PASS;         1480.676;         1502.651;         1485.940;         1486.393;            0.255;            0.015;           11.872
                 memcpy_SSE_u8;        18432.000;           18.000;   PASS;         1479.211;         1490.692;         1482.824;         1483.173;            0.178;            0.008;           11.883
              memcpy_SSE_u8_nt;        18432.000;           18.000;   PASS;          936.554;          963.459;          952.249;          951.493;            0.712;            0.029;           18.769
                 memcpy_AVX_u1;        18432.000;           18.000;   PASS;         1476.761;         1546.590;         1480.923;         1483.026;            0.795;            0.047;           11.903
                 memcpy_AVX_u2;        18432.000;           18.000;   PASS;         1477.970;         1485.732;         1482.716;         1482.563;            0.120;            0.005;           11.893
                 memcpy_AVX_u4;        18432.000;           18.000;   PASS;         1477.092;         1485.052;         1480.432;         1480.557;            0.133;            0.005;           11.900
                 memcpy_AVX_u8;        18432.000;           18.000;   PASS;         1463.481;         1474.079;         1468.197;         1468.132;            0.151;            0.007;           12.011
              memcpy_AVX_u8_nt;        18432.000;           18.000;   PASS;          934.597;          971.789;          958.139;          954.011;            1.086;            0.040;           18.808
                memcpy_AVX_u16;        18432.000;           18.000;   PASS;         1522.062;         1532.051;         1527.703;         1527.276;            0.178;            0.007;           11.549
             memcpy_AVX_u16_nt;        18432.000;           18.000;   PASS;         1040.428;         1093.818;         1076.994;         1067.590;            1.738;            0.051;           16.895
