                         title;              KiB;              MiB;  check;         min (us);         max (us);         med (us);        mean (us);               CV;              MRR;            MiB/s
                      memcpy_C;        12288.000;           12.000;   PASS;          494.844;          515.379;          504.685;          504.343;            0.908;            0.041;           23.682
                 memcpy_openmp;        12288.000;           12.000;   PASS;          767.264;          885.034;          779.341;          780.149;            2.506;            0.153;           15.273
                 memcpy_memcpy;        12288.000;           12.000;   PASS;          476.395;          497.499;          485.518;          485.981;            1.015;            0.044;           24.599
                    memcpy_asm;        12288.000;           12.000;   PASS;         1509.496;         1532.053;         1518.270;         1518.803;            0.333;            0.015;            7.763
                 memcpy_SSE_u1;        12288.000;           12.000;   PASS;          945.033;          952.946;          949.029;          948.625;            0.216;            0.008;           12.400
                 memcpy_SSE_u2;        12288.000;           12.000;   PASS;          944.405;          954.136;          947.759;          947.675;            0.207;            0.010;           12.409
                 memcpy_SSE_u4;        12288.000;           12.000;   PASS;          943.959;          960.713;          949.752;          949.581;            0.299;            0.018;           12.414
                 memcpy_SSE_u8;        12288.000;           12.000;   PASS;          944.173;          952.843;          949.543;          948.785;            0.206;            0.009;           12.412
              memcpy_SSE_u8_nt;        12288.000;           12.000;   PASS;          520.286;          538.513;          528.378;          528.517;            0.775;            0.035;           22.524
                 memcpy_AVX_u1;        12288.000;           12.000;   PASS;          900.801;          967.292;          946.505;          943.313;            1.374;            0.074;           13.009
                 memcpy_AVX_u2;        12288.000;           12.000;   PASS;          945.121;          955.785;          948.700;          948.455;            0.227;            0.011;           12.399
                 memcpy_AVX_u4;        12288.000;           12.000;   PASS;          944.143;          959.146;          948.730;          949.058;            0.300;            0.016;           12.412
                 memcpy_AVX_u8;        12288.000;           12.000;   PASS;          934.283;          942.980;          939.222;          939.142;            0.177;            0.009;           12.543
              memcpy_AVX_u8_nt;        12288.000;           12.000;   PASS;          509.530;          537.020;          524.345;          523.937;            1.390;            0.054;           22.999
                memcpy_AVX_u16;        12288.000;           12.000;   PASS;          970.835;          980.493;          975.961;          975.073;            0.265;            0.010;           12.071
             memcpy_AVX_u16_nt;        12288.000;           12.000;   PASS;          569.240;          587.183;          579.254;          578.876;            0.847;            0.032;           20.587
