                         title;              KiB;              MiB;  check;         min (us);         max (us);         med (us);        mean (us);               CV;              MRR;            MiB/s
                      memcpy_C;        26624.000;           26.000;   PASS;         1352.636;         1493.376;         1485.614;         1480.676;            1.585;            0.104;           18.771
                 memcpy_openmp;        26624.000;           26.000;   PASS;         1866.089;         1938.438;         1872.089;         1892.642;            1.643;            0.039;           13.606
                 memcpy_memcpy;        26624.000;           26.000;   PASS;         1392.257;         1410.662;         1402.523;         1402.146;            0.335;            0.013;           18.237
                    memcpy_asm;        26624.000;           26.000;   PASS;         3685.735;         3804.511;         3699.288;         3701.053;            0.520;            0.032;            6.889
                 memcpy_SSE_u1;        26624.000;           26.000;   PASS;         2127.836;         2157.987;         2134.700;         2135.492;            0.221;            0.014;           11.933
                 memcpy_SSE_u2;        26624.000;           26.000;   PASS;         2122.973;         2143.997;         2130.420;         2130.471;            0.191;            0.010;           11.960
                 memcpy_SSE_u4;        26624.000;           26.000;   PASS;         2129.092;         2143.421;         2135.400;         2135.163;            0.128;            0.007;           11.926
                 memcpy_SSE_u8;        26624.000;           26.000;   PASS;         2127.042;         2173.754;         2134.284;         2134.870;            0.365;            0.022;           11.937
              memcpy_SSE_u8_nt;        26624.000;           26.000;   PASS;         1491.737;         1506.754;         1497.923;         1497.886;            0.242;            0.010;           17.021
                 memcpy_AVX_u1;        26624.000;           26.000;   PASS;         2125.874;         2149.000;         2131.158;         2131.636;            0.183;            0.011;           11.944
                 memcpy_AVX_u2;        26624.000;           26.000;   PASS;         2128.587;         2140.801;         2134.739;         2134.962;            0.109;            0.006;           11.928
                 memcpy_AVX_u4;        26624.000;           26.000;   PASS;         2124.286;         2136.411;         2130.872;         2130.549;            0.134;            0.006;           11.953
                 memcpy_AVX_u8;        26624.000;           26.000;   PASS;         2106.899;         2119.373;         2113.512;         2113.129;            0.127;            0.006;           12.051
              memcpy_AVX_u8_nt;        26624.000;           26.000;   PASS;         1498.897;         1514.272;         1505.837;         1505.954;            0.252;            0.010;           16.940
                memcpy_AVX_u16;        26624.000;           26.000;   PASS;         2195.167;         2215.684;         2206.520;         2206.172;            0.181;            0.009;           11.567
             memcpy_AVX_u16_nt;        26624.000;           26.000;   PASS;         1688.340;         1708.354;         1699.755;         1699.664;            0.297;            0.012;           15.039
