                         title;              KiB;              MiB;  check;         min (us);         max (us);         med (us);        mean (us);               CV;              MRR;            MiB/s
                      memcpy_C;        16384.000;           16.000;   PASS;          748.752;          813.868;          805.008;          803.245;            1.334;            0.087;           20.868
                 memcpy_openmp;        16384.000;           16.000;   PASS;         1142.975;         1216.664;         1214.237;         1188.645;            2.848;            0.064;           13.670
                 memcpy_memcpy;        16384.000;           16.000;   PASS;          730.831;          750.221;          737.992;          739.623;            0.728;            0.027;           21.380
                    memcpy_asm;        16384.000;           16.000;   PASS;         2217.379;         2235.303;         2225.468;         2225.304;            0.181;            0.008;            7.047
                 memcpy_SSE_u1;        16384.000;           16.000;   PASS;         1313.167;         1339.962;         1319.184;         1319.131;            0.340;            0.020;           11.899
                 memcpy_SSE_u2;        16384.000;           16.000;   PASS;         1311.999;         1325.820;         1317.085;         1316.732;            0.198;            0.011;           11.909
                 memcpy_SSE_u4;        16384.000;           16.000;   PASS;         1316.964;         1324.252;         1320.515;         1320.444;            0.135;            0.006;           11.864
                 memcpy_SSE_u8;        16384.000;           16.000;   PASS;         1314.226;         1323.557;         1317.708;         1318.138;            0.182;            0.007;           11.889
              memcpy_SSE_u8_nt;        16384.000;           16.000;   PASS;          789.184;          815.963;          804.711;          803.112;            0.783;            0.034;           19.799
                 memcpy_AVX_u1;        16384.000;           16.000;   PASS;         1311.527;         1320.037;         1316.120;         1316.067;            0.144;            0.006;           11.914
                 memcpy_AVX_u2;        16384.000;           16.000;   PASS;         1316.058;         1326.079;         1319.236;         1319.400;            0.176;            0.008;           11.873
                 memcpy_AVX_u4;        16384.000;           16.000;   PASS;         1313.440;         1320.013;         1316.902;         1316.865;            0.132;            0.005;           11.896
                 memcpy_AVX_u8;        16384.000;           16.000;   PASS;         1302.419;         1311.278;         1305.805;         1305.771;            0.141;            0.007;           11.997
              memcpy_AVX_u8_nt;        16384.000;           16.000;   PASS;          793.512;          809.677;          802.003;          801.316;            0.480;            0.020;           19.691
                memcpy_AVX_u16;        16384.000;           16.000;   PASS;         1353.999;         1364.032;         1358.053;         1358.035;            0.205;            0.007;           11.540
             memcpy_AVX_u16_nt;        16384.000;           16.000;   PASS;          883.378;          910.370;          890.457;          890.957;            0.650;            0.031;           17.688
